status,attention_mode,linear_mode,compile_scope,precision_mode,forward_ms,fwd_bwd_ms,max_mem_gb,energy_max_abs,force_max_abs,error
ok,triton_radial_r2,spatial_recompute,trunk_flat,fp32_high,204.29968551616184,705.9452119865455,27.237439155578613,8.440017700195312e-05,1.9712058929144405e-05,
ok,triton_radial_r2,spatial_fast,trunk_flat,fp32_high,197.94510249630548,674.8069729947019,26.551228523254395,9.131431579589844e-05,2.054689139185939e-05,
ok,triton_radial_r2,ffn_fourier_direct,trunk_flat,fp32_high,179.4504015124403,582.1109475218691,25.730355739593506,9.059906005859375e-05,1.998401785385795e-05,
error,triton_radial_r2,all_fourier_direct,trunk_flat,fp32_high,,,,,,"ValueError: q, v, and qv projections must use the same linear backend"
ok,triton_radial_slope,spatial_recompute,trunk_flat,fp32_high,204.02993098832667,710.4254460136872,27.237439155578613,6.574392318725586e-05,2.0471201423788443e-05,
ok,triton_radial_slope,spatial_fast,trunk_flat,fp32_high,199.7913189989049,678.4006929956377,26.551228523254395,8.487701416015625e-05,2.0478770238696598e-05,
ok,triton_radial_slope,ffn_fourier_direct,trunk_flat,fp32_high,179.6781225129962,583.2390929863323,25.730355739593506,8.314847946166992e-05,1.8498256395105273e-05,
error,triton_radial_slope,all_fourier_direct,trunk_flat,fp32_high,,,,,,"ValueError: q, v, and qv projections must use the same linear backend"
ok,triton_radial_rbf8,spatial_recompute,trunk_flat,fp32_high,211.62376148276962,754.0536820015404,27.237439155578613,7.998943328857422e-05,2.0083007257198915e-05,
ok,triton_radial_rbf8,spatial_fast,trunk_flat,fp32_high,204.61948250886053,718.0605569737963,26.551228523254395,8.499622344970703e-05,2.0327395759522915e-05,
ok,triton_radial_rbf8,ffn_fourier_direct,trunk_flat,fp32_high,187.1904624858871,625.2723225043155,25.730355739593506,8.821487426757812e-05,1.8498256395105273e-05,
error,triton_radial_rbf8,all_fourier_direct,trunk_flat,fp32_high,,,,,,"ValueError: q, v, and qv projections must use the same linear backend"
